v_p_post,v_upvote,v_date
156,0,2015-07-20 02:59:43
157,1,2015-04-19 11:43:14
158,1,2015-12-22 16:17:29
159,1,2015-11-01 08:49:15
160,0,2016-03-09 12:59:02
161,1,2016-02-02 12:40:52
162,1,2015-10-05 15:52:12
163,0,2016-02-04 15:32:15
164,1,2015-10-18 07:25:12
165,0,2016-03-14 21:50:49
166,0,2015-04-17 11:17:37
167,1,2015-06-25 12:08:01
168,0,2016-01-05 22:14:17
169,1,2016-01-20 11:20:35
170,1,2015-09-18 22:52:42
171,1,2015-08-04 00:32:35
172,0,2015-07-24 02:02:42
173,1,2015-04-11 21:04:04
174,0,2015-12-18 10:25:26
175,1,2015-06-23 21:55:48
176,1,2015-08-02 05:37:16
177,0,2015-03-30 21:36:51
178,0,2015-11-27 21:19:07
179,1,2015-03-12 19:25:19
180,0,2015-10-21 00:25:07
181,0,2015-12-30 19:13:10
182,1,2016-02-24 12:54:51
183,1,2015-05-11 19:20:16
184,1,2015-05-15 06:15:46
185,1,2015-10-16 13:09:03
186,0,2015-04-04 12:39:48
187,0,2015-11-28 15:54:39
188,1,2016-02-15 16:49:51
189,0,2015-06-13 07:08:16
190,0,2015-08-21 19:17:41
191,1,2015-09-18 14:18:28
192,1,2015-05-28 04:03:19
193,1,2016-02-19 04:01:30
194,0,2015-05-17 02:19:12
195,0,2015-09-03 13:18:48
196,0,2015-08-12 00:58:35
197,1,2015-10-18 15:22:11
198,0,2015-08-21 03:56:54
199,0,2015-07-09 16:25:09
200,1,2016-02-01 12:37:15
201,1,2015-06-22 01:04:27
202,1,2016-01-31 19:35:55
203,1,2015-12-20 03:36:08
204,1,2016-02-09 13:00:53
205,1,2016-01-20 23:22:16
206,1,2015-03-06 07:25:28
207,0,2015-03-18 20:29:01
208,1,2015-12-02 19:15:22
209,1,2016-01-27 13:15:09
210,0,2015-09-13 11:21:35
211,0,2015-06-05 20:30:00
212,1,2015-08-17 17:17:30
213,1,2015-09-25 13:30:03
214,0,2015-12-02 02:56:12
215,1,2015-08-03 16:57:25
216,1,2015-03-02 17:29:26
217,0,2016-02-13 23:19:39
218,1,2016-03-24 02:40:45
219,1,2015-12-27 04:15:58
220,1,2015-06-13 09:35:56
221,0,2015-08-25 07:08:45
222,0,2015-07-30 15:51:50
223,1,2015-05-31 16:55:23
224,1,2015-10-30 13:03:42
225,0,2015-06-19 21:13:27
226,1,2015-12-01 23:21:01
227,0,2015-09-28 18:09:32
228,1,2015-09-09 06:50:51
229,0,2015-10-25 04:22:15
230,0,2015-06-21 02:24:30
231,0,2016-03-11 11:48:50
232,0,2015-08-21 10:46:46
233,1,2015-03-29 20:25:39
234,0,2015-08-31 07:05:02
235,0,2015-11-09 01:58:51
236,0,2015-09-15 06:43:40
237,0,2016-02-13 02:07:52
238,1,2015-06-23 20:32:06
239,0,2015-12-31 13:39:57
240,0,2015-04-19 17:42:22
241,0,2015-11-13 16:39:04
242,0,2016-02-14 18:55:28
243,1,2016-02-29 04:02:12
244,0,2015-05-28 22:10:30
245,0,2015-06-18 17:11:27
246,0,2016-03-19 08:45:31
247,1,2016-01-02 15:41:11
248,1,2015-03-22 22:15:53
249,1,2015-06-02 04:41:58
250,1,2015-04-05 06:31:02
251,0,2015-10-12 23:44:31
252,1,2015-03-06 04:13:12
253,0,2015-06-06 05:01:51
254,0,2016-02-15 04:50:29
255,1,2015-08-09 01:28:05
256,0,2015-11-29 08:44:46
257,0,2015-05-31 07:57:44
258,0,2015-03-12 07:26:33
259,1,2016-02-15 05:11:27
260,1,2016-01-01 22:29:42
261,0,2015-12-25 08:24:46
262,1,2016-01-21 08:48:42
263,1,2015-10-16 04:57:59
264,0,2016-01-26 08:48:50
265,0,2015-12-25 09:43:47
266,0,2015-03-22 17:25:41
267,1,2015-07-05 20:15:30
268,0,2015-12-29 23:19:48
269,0,2015-11-03 19:23:17
270,1,2015-07-01 07:05:17
271,0,2016-02-14 13:09:58
272,0,2015-03-05 13:13:26
273,0,2015-06-21 18:50:24
274,1,2015-06-17 19:36:27
275,1,2015-08-26 13:24:11
276,0,2016-02-25 11:47:08
277,1,2015-06-11 18:37:30
278,0,2015-05-27 06:08:16
279,1,2015-06-04 20:19:05
280,0,2016-03-06 13:12:52
281,1,2015-09-13 02:21:18
282,1,2015-03-17 14:44:45
283,1,2015-11-09 18:45:40
284,0,2015-09-21 06:29:38
285,1,2015-11-06 01:38:17
286,1,2016-03-10 06:36:56
287,1,2015-11-17 11:02:25
288,1,2015-07-14 11:31:00
289,0,2016-01-08 13:54:04
290,1,2015-04-06 00:44:20
291,0,2015-03-02 05:30:32
292,0,2015-03-30 08:53:16
293,0,2015-04-15 14:48:08
294,1,2015-10-04 02:26:17
295,0,2016-01-24 01:35:23
296,1,2016-01-09 20:20:17
297,0,2016-02-23 01:03:01
298,1,2015-08-28 03:05:08
299,0,2016-02-14 19:30:29
300,1,2015-04-04 12:27:14
301,0,2016-02-16 02:27:56
302,1,2016-01-22 18:11:18
303,1,2015-09-30 09:28:00
304,1,2015-11-11 12:52:42
305,1,2016-03-02 09:29:31
306,1,2015-07-05 15:46:32
307,0,2015-09-03 04:28:19
308,0,2016-01-17 08:06:01
309,1,2015-08-24 06:52:34
310,0,2015-11-09 19:01:27
311,0,2015-10-28 15:24:01
312,0,2015-10-17 01:44:15
313,1,2015-12-05 18:59:19
314,1,2016-03-26 19:11:48
315,1,2016-01-07 06:38:42
316,0,2015-09-23 18:20:50
317,1,2015-04-09 14:13:16
318,1,2015-10-01 19:01:32
319,1,2015-05-10 20:02:29
320,0,2015-06-27 18:57:07
321,1,2015-06-05 03:32:00
322,0,2016-01-25 22:54:48
323,1,2015-04-07 12:08:04
324,1,2015-10-06 15:38:56
325,1,2015-07-09 06:37:25
326,0,2015-11-22 14:10:23
327,1,2015-06-11 20:20:15
328,1,2015-11-13 16:21:20
329,0,2015-03-10 00:33:59
330,0,2015-04-10 17:20:19
331,1,2015-12-23 20:44:44
332,1,2015-05-02 12:17:57
333,1,2015-03-30 12:48:24
334,0,2015-05-04 23:59:17
335,0,2016-01-18 07:55:35
336,0,2015-07-31 13:06:43
337,1,2015-05-22 08:56:37
338,1,2015-09-20 18:08:13
339,0,2015-07-04 05:16:10
340,1,2015-06-26 06:13:54
341,1,2016-01-31 04:49:30
342,0,2015-09-27 01:07:19
343,1,2015-10-23 16:20:21
344,1,2015-06-22 21:32:01
345,0,2015-12-21 23:28:33
346,1,2016-03-12 12:49:19
347,0,2016-01-05 08:19:21
348,0,2015-08-20 06:13:27
349,0,2015-12-06 07:54:10
350,0,2015-03-27 01:15:22
351,0,2015-05-20 10:01:15
352,0,2015-10-24 18:38:22
353,1,2015-06-19 16:00:16
354,1,2015-05-01 15:46:10
355,0,2015-07-26 13:51:27
356,0,2016-01-23 10:57:56
357,0,2016-02-20 05:09:54
358,0,2015-03-03 23:52:11
359,0,2015-10-17 20:43:51
360,1,2015-08-28 03:23:46
361,1,2016-02-17 09:26:48
362,0,2015-11-03 02:40:44
363,1,2015-03-31 14:32:08
364,1,2015-11-02 09:27:00
365,1,2015-07-22 10:39:57
366,0,2015-08-01 20:58:20
367,0,2015-11-23 18:12:55
368,1,2016-01-09 14:47:56
369,0,2015-03-26 18:16:27
370,1,2015-12-01 07:55:49
371,1,2015-05-28 22:40:21
372,0,2015-08-28 23:19:16
373,0,2015-08-09 18:30:23
374,1,2015-04-01 03:09:22
375,0,2015-08-12 20:51:08
376,1,2015-09-03 18:53:45
377,0,2015-11-01 16:20:02
378,1,2016-03-27 20:25:43
379,1,2015-09-15 09:51:16
380,1,2015-12-02 20:20:13
381,1,2015-10-22 21:31:05
382,0,2015-10-13 18:52:35
383,1,2015-06-26 11:46:18
384,0,2015-05-02 06:54:37
385,0,2015-11-11 10:58:11
386,1,2016-03-01 23:31:20
387,1,2015-04-23 02:04:37
388,1,2015-10-23 23:02:15
389,0,2015-12-03 06:29:26
390,1,2015-11-07 03:43:36
391,1,2015-05-21 00:53:15
392,0,2016-03-26 03:40:41
393,1,2016-02-13 11:56:41
394,1,2015-08-02 14:45:45
395,1,2015-05-15 15:37:50
396,1,2015-07-29 07:10:32
397,1,2015-12-22 01:19:06
398,1,2015-07-22 11:37:23
399,1,2015-03-16 07:39:24
400,0,2016-03-01 04:49:13
401,1,2016-03-07 19:30:23
402,1,2015-07-16 07:52:06
403,1,2016-03-22 05:07:58
404,1,2015-03-30 13:08:36
405,0,2015-09-09 19:41:44
406,1,2016-02-04 02:39:08
407,0,2015-12-14 01:39:13
408,0,2015-10-18 02:19:19
409,1,2015-04-26 13:21:27
410,1,2015-04-22 07:41:09
411,1,2015-12-13 00:49:32
412,0,2015-05-14 12:29:30
413,0,2015-07-21 04:45:28
414,0,2015-12-25 16:51:12
415,1,2015-07-25 10:01:13
416,1,2016-03-23 03:43:04
417,0,2015-06-27 17:28:04
418,0,2015-07-18 01:09:52
419,1,2015-09-24 05:30:30
420,1,2015-07-09 04:55:53
421,0,2015-08-15 02:46:54
422,0,2015-11-18 23:40:39
423,0,2015-09-29 15:43:07
424,0,2015-07-11 11:48:18
425,0,2015-04-05 18:20:57
426,1,2015-08-09 03:37:27
427,0,2016-02-23 13:18:27
428,1,2015-11-22 08:59:24
429,0,2015-09-07 15:07:18
430,0,2015-11-25 01:55:25
431,0,2015-11-23 02:17:09
432,0,2015-09-28 04:57:05
433,0,2015-03-17 05:46:02
434,0,2015-09-16 00:17:47
435,0,2015-05-13 15:14:33
436,0,2015-03-13 15:56:30
437,0,2015-12-03 00:28:50
438,0,2016-01-20 01:44:44
439,0,2015-03-16 21:37:30
440,0,2016-03-09 02:43:00
441,0,2016-03-10 04:09:59
442,1,2015-12-02 21:05:42
443,0,2016-02-26 00:07:38
444,0,2015-03-05 16:09:27
445,0,2015-12-14 10:29:01
446,1,2015-04-16 18:27:50
447,1,2015-08-25 23:44:33
448,0,2015-10-15 07:29:48
449,0,2016-02-21 10:19:09
450,0,2015-04-05 03:21:39
451,0,2015-11-12 01:35:52
452,0,2015-05-16 02:47:16
453,1,2015-03-18 02:02:01
454,1,2015-06-17 21:46:16
455,1,2015-12-28 07:01:56
456,0,2015-11-11 21:58:21
457,0,2015-07-15 17:34:59
458,1,2016-01-18 15:11:59
459,0,2015-12-09 17:59:31
460,1,2016-01-28 06:32:27
461,1,2016-03-11 04:34:23
462,1,2015-11-08 02:56:22
463,1,2016-01-31 07:22:33
464,1,2015-11-28 21:14:02
465,1,2015-04-23 00:56:48
466,1,2015-08-05 03:17:21
467,0,2016-02-26 09:51:42
468,0,2015-07-22 15:47:06
469,0,2016-02-24 15:54:58
470,1,2016-02-07 17:24:37
471,1,2015-03-04 05:16:09
472,0,2015-03-25 17:35:20
473,0,2015-06-20 06:12:28
474,0,2015-07-29 08:43:43
475,1,2015-05-10 01:41:24
476,1,2015-12-03 03:02:21
477,1,2015-08-09 07:07:02
478,0,2015-03-24 15:05:37
479,1,2015-09-25 17:25:10
480,0,2015-06-16 21:14:44
481,1,2015-04-24 17:17:22
482,0,2015-07-03 10:07:50
483,0,2015-07-18 20:36:55
484,1,2015-06-25 09:15:29
485,1,2015-06-06 17:40:36
486,0,2015-08-07 01:28:38
487,1,2015-04-04 00:44:57
488,1,2015-04-26 06:17:33
489,0,2016-02-07 23:39:23
490,1,2015-04-22 07:07:43
491,0,2016-02-16 11:06:36
492,0,2015-12-17 12:27:32
493,1,2015-05-13 10:32:47
494,1,2015-08-24 08:59:05
495,0,2015-05-31 17:30:30
496,0,2016-02-21 13:02:27
497,1,2015-12-16 19:02:58
498,0,2015-05-26 09:34:38
499,1,2015-06-06 21:16:13
500,1,2015-12-16 09:26:42
501,0,2015-03-18 18:37:40
502,0,2015-12-23 03:33:41
503,1,2015-03-03 21:18:32
504,0,2015-10-04 14:30:32
505,1,2015-03-23 16:55:46
506,0,2015-08-23 10:22:33
507,1,2015-03-10 20:45:59
508,1,2015-04-20 05:41:53
509,0,2016-02-02 06:07:07
510,1,2016-02-15 05:41:24
511,1,2015-06-26 00:26:46
512,1,2015-05-13 11:46:29
513,1,2015-05-19 02:08:24
514,1,2016-03-26 08:46:45
515,1,2016-01-07 13:51:58
516,1,2015-06-09 13:05:42
517,0,2015-12-06 15:31:21
518,0,2015-07-24 15:41:51
519,1,2016-02-24 07:27:17
520,0,2016-02-26 04:59:10
521,1,2015-03-17 05:03:53
522,0,2015-05-12 21:45:46
523,0,2016-03-28 00:39:53
524,1,2015-12-05 21:02:37
525,0,2015-08-26 11:57:52
526,1,2016-01-09 15:13:39
527,1,2015-05-12 22:49:35
528,0,2015-08-29 22:08:30
529,0,2015-07-29 19:11:00
530,1,2015-07-27 12:13:52
531,0,2015-03-01 09:48:48
532,1,2015-11-16 23:35:28
533,0,2015-04-30 17:43:13
534,0,2015-03-18 20:54:26
535,0,2015-09-01 05:14:40
536,1,2015-06-25 15:22:01
537,0,2015-04-13 14:42:26
538,1,2015-04-30 23:21:42
539,0,2015-12-30 04:58:59
540,0,2015-04-07 06:31:03
541,1,2015-09-03 01:42:09
542,1,2015-03-08 23:42:29
543,0,2015-11-02 21:44:33
544,0,2015-11-13 14:47:57
545,0,2015-07-16 06:44:38
546,0,2016-02-19 21:28:58
547,0,2015-04-01 22:58:29
548,0,2015-04-21 13:39:31
549,0,2016-03-10 13:36:04
550,0,2016-02-10 23:14:27
551,1,2015-06-01 18:08:57
552,1,2015-07-04 04:49:48
553,0,2015-06-14 22:13:09
554,1,2015-06-11 18:44:06
555,0,2015-11-19 11:22:31
556,0,2015-08-27 00:44:48
557,0,2015-07-19 11:21:10
558,0,2015-06-30 10:50:11
559,0,2015-10-22 02:31:33
560,0,2015-09-12 20:27:16
561,1,2015-04-15 17:19:10
562,0,2015-04-08 09:30:53
563,0,2015-05-13 22:50:36
564,0,2015-11-04 18:00:08
565,1,2015-06-02 01:22:37
566,1,2015-07-11 16:17:56
567,0,2015-03-26 14:50:32
568,0,2015-12-31 07:06:03
569,0,2016-01-24 16:36:50
570,0,2015-11-06 06:11:39
571,0,2015-03-20 14:44:31
572,1,2016-02-03 16:56:14
573,1,2015-03-04 22:49:19
574,0,2016-01-27 01:30:26
575,1,2015-08-06 05:39:36
576,0,2015-10-30 20:28:28
577,0,2015-10-03 05:23:29
578,0,2015-08-06 04:36:34
579,0,2015-07-22 22:54:41
580,1,2016-02-27 10:21:50
581,1,2016-02-23 13:11:08
582,0,2015-03-24 09:47:23
583,0,2015-04-01 00:44:58
584,1,2015-12-20 13:36:48
585,1,2015-04-13 10:18:29
586,0,2015-11-06 07:14:49
587,0,2015-10-30 10:53:16
588,1,2015-03-28 08:49:32
589,0,2015-11-26 14:57:03
590,0,2015-06-13 19:53:06
591,1,2015-08-21 16:07:56
592,1,2015-08-01 01:44:37
593,1,2015-12-22 14:43:27
594,1,2015-08-20 05:27:01
595,0,2015-05-06 04:57:43
596,0,2016-02-08 16:02:22
597,0,2016-03-28 15:54:55
598,1,2015-08-06 12:19:27
599,1,2015-10-17 02:50:59
600,1,2015-06-15 22:13:00
601,0,2015-05-28 22:17:29
602,1,2016-02-28 01:46:41
603,0,2015-09-10 04:31:08
604,1,2015-07-20 17:49:16
605,0,2016-03-02 12:48:59
606,0,2015-05-24 19:55:29
607,1,2015-09-14 11:10:42
608,1,2016-03-08 06:41:50
609,0,2016-02-12 12:23:19
610,1,2015-03-27 10:30:51
611,0,2015-04-07 08:06:43
612,0,2015-05-29 20:08:17
613,0,2015-10-27 10:40:08
614,0,2015-11-16 07:23:44
615,1,2015-05-19 18:56:59
616,0,2016-02-13 14:27:55
617,1,2015-05-23 05:04:36
618,1,2015-12-05 10:53:33
619,1,2015-11-26 17:26:18
620,0,2015-11-23 13:37:02
621,1,2015-12-11 02:18:09
622,0,2015-04-25 04:07:38
623,1,2016-02-13 12:24:47
624,0,2015-03-06 19:06:46
625,1,2015-03-17 06:02:36
626,0,2015-03-25 19:33:01
627,0,2016-03-03 08:20:31
628,1,2015-09-29 10:20:42
629,0,2016-03-19 00:04:34
630,1,2015-06-05 09:00:02
631,1,2015-07-27 19:49:23
632,1,2015-03-09 00:38:07
633,0,2015-06-14 14:06:38
634,0,2016-01-09 13:15:56
635,0,2016-02-05 11:03:36
636,1,2015-10-17 10:19:44
637,1,2016-01-21 13:56:48
638,0,2015-06-27 12:45:26
639,0,2016-01-19 04:01:35
640,0,2016-03-02 06:50:56
641,0,2015-10-12 04:40:38
642,0,2016-02-06 21:29:23
643,1,2015-08-20 22:58:58
644,0,2015-07-30 09:01:37
645,1,2015-05-14 15:25:30
646,1,2015-06-18 05:57:29
647,0,2015-04-13 02:13:19
648,0,2015-07-16 11:26:23
649,1,2015-08-04 20:48:17
650,1,2015-08-06 11:14:03
651,1,2015-05-16 21:45:32
652,0,2015-08-21 04:02:43
653,0,2015-11-10 22:39:03
654,0,2015-11-14 08:30:35
655,0,2016-02-17 16:24:48
656,1,2016-01-16 04:20:22
657,0,2016-01-13 13:30:29
658,0,2015-08-19 04:34:47
659,1,2015-06-27 16:28:50
660,1,2015-07-15 16:59:27
661,1,2015-08-16 11:24:24
662,0,2015-05-18 11:26:56
663,1,2015-11-08 18:12:33
664,1,2015-11-13 01:29:22
665,0,2015-03-23 05:01:13
666,1,2015-11-01 11:29:54
667,0,2015-08-17 03:21:16
668,1,2015-11-22 21:20:45
669,1,2015-05-23 01:52:06
670,1,2015-03-04 12:09:09
671,1,2016-02-18 01:55:55
672,1,2015-10-19 15:22:01
673,0,2015-03-03 02:16:05
674,0,2015-04-04 04:58:19
675,1,2015-08-16 14:15:37
676,0,2015-08-25 22:40:04
677,1,2015-03-30 08:03:59
678,0,2015-07-26 02:33:04
679,0,2015-06-25 11:52:40
680,1,2015-07-16 01:40:34
681,0,2015-12-07 01:44:28
682,1,2015-10-08 00:59:46
683,1,2015-06-11 05:06:50
684,1,2015-03-03 21:45:17
685,0,2015-12-20 02:48:36
686,0,2015-09-03 23:52:07
687,0,2015-06-11 12:17:30
688,0,2016-01-07 18:33:46
689,1,2015-11-09 18:09:00
690,0,2016-01-30 13:18:24
691,0,2015-12-04 22:08:10
692,1,2016-03-25 15:57:38
693,0,2015-08-10 04:07:49
694,0,2015-12-25 20:39:49
695,0,2015-04-17 09:57:43
696,1,2015-05-10 13:12:18
697,1,2015-10-05 16:07:00
698,0,2015-11-26 20:57:28
699,0,2015-07-24 21:46:27
700,1,2015-12-11 22:39:31
701,0,2015-05-08 01:09:34
702,0,2015-05-02 15:09:20
703,0,2015-04-02 22:33:39
704,0,2015-03-29 00:01:40
705,0,2015-10-22 18:52:43
706,0,2015-06-19 01:07:31
707,1,2016-02-08 02:00:09
708,1,2015-12-11 21:25:01
709,1,2015-03-18 17:23:03
710,1,2016-01-02 08:57:59
711,1,2015-08-05 07:38:51
712,0,2015-12-19 14:16:16
713,0,2015-08-27 21:57:50
714,1,2015-07-21 11:14:02
715,1,2015-04-10 05:33:04
716,1,2015-04-22 04:47:27
717,0,2015-08-09 00:55:02
718,1,2015-11-30 10:19:18
719,0,2015-10-14 23:58:21
720,1,2016-02-18 20:11:19
721,0,2016-01-12 01:43:04
722,0,2015-10-23 07:26:16
723,1,2015-05-03 06:32:32
724,1,2015-10-31 21:50:37
725,1,2015-09-16 11:54:38
726,0,2015-11-17 13:51:13
727,0,2015-09-18 16:23:29
728,0,2016-03-10 03:29:23
729,1,2015-04-24 14:51:31
730,0,2016-01-21 14:36:22
731,1,2016-02-25 08:54:20
732,1,2015-10-24 22:37:40
733,1,2015-12-14 21:04:32
734,0,2016-01-09 19:32:21
735,0,2016-02-19 20:44:32
736,0,2015-10-08 11:12:30
737,1,2015-10-20 11:21:03
738,1,2016-01-02 23:22:45
739,0,2015-10-09 02:00:54
740,1,2015-03-02 03:44:09
741,0,2016-02-04 23:58:25
742,1,2015-08-30 22:04:51
743,1,2015-09-03 23:37:40
744,1,2015-05-21 10:45:16
745,1,2016-02-26 12:46:37
746,1,2015-06-04 07:09:45
747,1,2016-01-04 06:36:23
748,0,2015-06-13 05:40:08
749,0,2015-04-21 23:12:18
750,0,2015-10-25 18:54:58
751,1,2015-11-16 19:56:20
752,1,2015-06-10 02:33:57
753,0,2015-09-21 19:49:23
754,0,2016-02-01 21:07:50
755,1,2015-07-08 21:36:18
756,1,2015-09-07 10:22:36
757,1,2015-08-25 22:16:12
758,0,2015-07-07 00:41:01
759,1,2016-02-02 02:41:00
760,1,2015-04-18 10:13:26
761,0,2015-04-17 14:12:53
762,0,2016-02-03 06:42:39
763,1,2015-07-21 20:37:06
764,1,2015-12-07 03:46:06
765,0,2015-03-03 00:24:06
766,0,2016-01-13 20:47:58
767,0,2015-10-05 22:08:46
768,1,2015-09-05 21:11:15
769,0,2015-09-04 09:53:15
770,1,2015-09-07 13:55:43
771,0,2015-09-29 07:05:55
772,0,2015-08-08 05:58:44
773,1,2015-07-16 17:32:07
774,1,2016-03-23 17:26:33
775,0,2016-01-01 04:53:31
776,0,2015-05-02 10:03:54
777,1,2015-10-23 11:07:12
778,0,2016-02-05 04:13:23
779,0,2015-11-23 06:31:00
780,1,2015-10-14 23:03:43
781,1,2015-09-03 13:38:11
782,1,2015-04-16 09:21:19
783,1,2016-02-02 03:42:55
784,0,2015-11-19 16:20:20
785,0,2015-08-25 06:55:35
786,0,2015-12-14 04:58:56
787,1,2015-11-14 08:36:27
788,0,2015-04-01 20:16:36
789,0,2015-10-13 21:14:03
790,1,2015-04-13 21:08:28
791,0,2016-03-05 12:10:45
792,1,2015-03-15 05:16:05
793,0,2015-10-16 08:19:29
794,0,2015-03-11 14:35:26
795,0,2015-09-12 18:44:02
796,1,2015-10-07 10:13:08
797,0,2016-03-27 07:13:40
798,0,2016-03-26 12:26:34
799,0,2016-01-20 17:58:44
800,0,2015-03-18 08:15:12
801,1,2015-08-09 13:34:33
802,0,2015-11-13 09:40:48
803,1,2015-07-13 18:48:58
804,1,2015-11-26 20:26:46
805,1,2015-11-24 17:59:37
806,1,2015-08-12 07:51:53
807,0,2015-03-06 22:55:41
808,0,2015-05-29 13:01:11
809,1,2016-02-13 00:13:21
810,0,2015-10-04 00:40:25
811,0,2015-07-30 05:18:40
812,1,2016-02-09 07:42:19
813,0,2015-05-27 09:55:04
814,1,2016-03-21 09:07:30
815,0,2015-04-18 01:40:47
816,0,2015-03-14 03:16:59
817,1,2015-05-02 12:20:52
818,1,2016-02-21 15:22:29
819,0,2015-09-21 15:43:58
820,0,2015-08-28 09:55:50
821,0,2015-12-30 11:07:55
