r_id,r_context
580,hot
581,hot
582,hot
583,hot
584,hot
585,hot
586,hot
587,hot
588,hot
589,hot
590,hot
591,hot
592,hot
593,hot
594,hot
595,hot
596,hot
597,hot
598,hot
599,hot
600,hot
601,hot
602,hot
603,hot
604,hot
605,hot
606,hot
607,hot
608,hot
609,hot
610,hot
611,hot
612,hot
613,hot
614,hot
615,hot
616,hot
617,hot
618,hot
619,hot
620,hot
621,hot
622,hot
623,hot
624,hot
625,hot
626,hot
627,hot
628,hot
629,hot
630,hot
631,hot
632,hot
633,hot
634,hot
635,hot
636,hot
637,hot
638,hot
639,hot
640,hot
641,hot
642,hot
643,hot
644,hot
645,hot
646,hot
647,hot
648,hot
649,hot
650,hot
651,hot
652,hot
653,hot
654,hot
655,hot
656,hot
657,hot
658,hot
659,hot
660,hot
661,hot
662,hot
663,hot
664,hot
665,hot
666,hot
667,hot
668,hot
669,hot
670,hot
671,hot
672,hot
673,hot
674,hot
675,hot
676,hot
677,hot
678,hot
679,hot
680,hot
681,hot
682,hot
683,hot
684,hot
685,hot
686,hot
687,hot
688,hot
689,hot
690,hot
691,hot
692,hot
693,hot
694,hot
695,hot
696,hot
697,hot
698,hot
699,hot
700,hot
701,hot
702,hot
703,hot
704,hot
705,hot
706,hot
707,hot
708,hot
709,hot
710,hot
711,hot
712,hot
713,hot
714,hot
715,hot
716,hot
717,hot
718,hot
719,hot
720,hot
721,hot
722,hot
723,hot
724,hot
725,hot
726,hot
727,hot
728,hot
729,hot
730,hot
731,hot
732,hot
733,hot
734,hot
735,hot
736,hot
737,hot
738,hot
739,hot
740,hot
741,hot
742,hot
743,hot
744,hot
745,hot
746,hot
747,hot
748,hot
749,hot
750,hot
751,hot
752,hot
753,hot
754,hot
755,hot
756,hot
757,hot
758,hot
759,hot
760,hot
761,hot
762,hot
763,hot
764,hot
765,hot
766,hot
767,hot
768,hot
769,hot
770,hot
771,hot
772,hot
773,hot
774,hot
775,hot
776,hot
777,hot
778,hot
779,hot
780,hot
781,hot
782,hot
783,hot
784,hot
785,hot
786,hot
787,hot
788,hot
789,hot
790,hot
791,hot
792,hot
793,hot
794,hot
795,hot
796,hot
797,hot
798,hot
799,hot
800,hot
801,hot
802,hot
803,hot
804,hot
805,hot
806,hot
807,hot
808,hot
809,hot
810,hot
811,hot
812,hot
813,hot
814,hot
815,hot
816,hot
817,hot
818,hot
819,hot
820,hot
821,hot
822,hot
823,hot
824,hot
825,hot
826,hot
827,hot
828,hot
829,hot
830,hot
831,hot
832,hot
833,hot
834,hot
835,hot
836,hot
837,hot
838,hot
839,hot
840,hot
841,hot
842,hot
843,hot
844,hot
845,hot
846,hot
847,hot
848,hot
849,hot
850,hot
851,hot
852,hot
853,hot
854,hot
855,hot
856,hot
857,hot
858,hot
859,hot
860,hot
861,hot
862,hot
863,hot
864,hot
865,hot
866,hot
867,hot
868,hot
869,hot
870,hot
871,hot
872,hot
873,hot
874,hot
875,hot
876,hot
877,hot
878,hot
879,hot
880,hot
881,hot
882,hot
883,hot
884,hot
885,hot
886,hot
887,hot
888,hot
889,hot
890,hot
891,hot
892,hot
893,hot
894,hot
895,hot
896,hot
897,hot
898,hot
899,hot
900,hot
901,hot
902,hot
903,hot
904,hot
905,hot
906,hot
907,hot
908,hot
909,hot
910,hot
911,hot
912,hot
913,hot
914,hot
915,hot
916,hot
917,hot
918,hot
919,hot
920,hot
921,hot
922,hot
923,hot
924,hot
925,hot
926,hot
927,hot
928,hot
929,hot
930,hot
931,hot
932,hot
933,hot
934,hot
935,hot
936,hot
937,hot
938,hot
939,hot
940,hot
941,hot
942,hot
943,hot
944,hot
945,hot
946,hot
947,hot
948,hot
949,hot
950,hot
951,hot
952,hot
953,hot
954,hot
955,hot
956,hot
957,hot
958,hot
959,hot
960,hot
961,hot
962,hot
963,hot
964,hot
965,hot
966,hot
967,hot
968,hot
969,hot
970,hot
971,hot
972,hot
973,hot
974,hot
975,hot
976,hot
977,hot
978,hot
979,hot
980,hot
981,hot
982,hot
983,hot
984,hot
985,hot
986,hot
987,hot
988,hot
989,hot
990,hot
991,hot
992,hot
993,hot
994,hot
995,hot
996,hot
997,hot
998,hot
999,hot
1000,hot

1001,rising
1002,rising
1003,rising
1004,rising
1005,rising
1006,rising
1007,rising
1008,rising
1009,rising
1010,rising
1011,rising
1012,rising
1013,rising
1014,rising
1015,rising
1016,rising
1017,rising
1018,rising
1019,rising
1020,rising
1021,rising
1022,rising
1023,rising
1024,rising
1025,rising
1026,rising
1027,rising
1028,rising
1029,rising
1030,rising
1031,rising
1032,rising
1033,rising
1034,rising
1035,rising
1036,rising
1037,rising
1038,rising
1039,rising
1040,rising
1041,rising
1042,rising
1043,rising
1044,rising
1045,rising
1046,rising
1047,rising
1048,rising
1049,rising
1050,rising
1051,rising
1052,rising
1053,rising
1054,rising
1055,rising
1056,rising
1057,rising
1058,rising
1059,rising
1060,rising
1061,rising
1062,rising
1063,rising
1064,rising
1065,rising
1066,rising
1067,rising
1068,rising
1069,rising
1070,rising
1071,rising
1072,rising
1073,rising
1074,rising
1075,rising
1076,rising
1077,rising
1078,rising
1079,rising
1080,rising
1081,rising
1082,rising
1083,rising
1084,rising
1085,rising
1086,rising
1087,rising
1088,rising
1089,rising
1090,rising
1091,rising
1092,rising
1093,rising
1094,rising
1095,rising
1096,rising
1097,rising
1098,rising
1099,rising
1100,rising
1101,rising
1102,rising
1103,rising
1104,rising
1105,rising
1106,rising
1107,rising
1108,rising
1109,rising
1110,rising
1111,rising
1112,rising
1113,rising
1114,rising
1115,rising
1116,rising
1117,rising
1118,rising
1119,rising
1120,rising
1121,rising
1122,rising
1123,rising
1124,rising
1125,rising
1126,rising
1127,rising
1128,rising
1129,rising
1130,rising
1131,rising
1132,rising
1133,rising
1134,rising
1135,rising
1136,rising
1137,rising
1138,rising
1139,rising
1140,rising
1141,rising
1142,rising
1143,rising
1144,rising
1145,rising
1146,rising
1147,rising
1148,rising
1149,rising
1150,rising
1151,rising
1152,rising
1153,rising
1154,rising
1155,rising
1156,rising
1157,rising
1158,rising
1159,rising
1160,rising
1161,rising
1162,rising
1163,rising
1164,rising
1165,rising
1166,rising
1167,rising
1168,rising
1169,rising
1170,rising
1171,rising
1172,rising
1173,rising
1174,rising
1175,rising
1176,rising
1177,rising
1178,rising
1179,rising
1180,rising
1181,rising
1182,rising
1183,rising
1184,rising
1185,rising
1186,rising
1187,rising
1188,rising
1189,rising
1190,rising
1191,rising
1192,rising
1193,rising
1194,rising
1195,rising
1196,rising
1197,rising
1198,rising
1199,rising
1200,rising
1201,rising
1202,rising
1203,rising
1204,rising
1205,rising
1206,rising
1207,rising
1208,rising
1209,rising
1210,rising
1211,rising
1212,rising
1213,rising
1214,rising
1215,rising
1216,rising
1217,rising
1218,rising
1219,rising
1220,rising
1221,rising
1222,rising
1223,rising
1224,rising
1225,rising
1226,rising
1227,rising
1228,rising
1229,rising
1230,rising
1231,rising
1232,rising
1233,rising
1234,rising
1235,rising
1236,rising
1237,rising
1238,rising
1239,rising
1240,rising
1241,rising
1242,rising
1243,rising
1244,rising
1245,rising
1246,rising
1247,rising
1248,rising
1249,rising
1250,rising
1251,rising
1252,rising
1253,rising
1254,rising
1255,rising
1256,rising
1257,rising
1258,rising
1259,rising
1260,rising
1261,rising
1262,rising
1263,rising
1264,rising
1265,rising
1266,rising
1267,rising
1268,rising
1269,rising
1270,rising
1271,rising
1272,rising
1273,rising
1274,rising
1275,rising
1276,rising
1277,rising
1278,rising
1279,rising
1280,rising
1281,rising
1282,rising
1283,rising
1284,rising
1285,rising
1286,rising
1287,rising
1288,rising
1289,rising
1290,rising
1291,rising
1292,rising
1293,rising
1294,rising
1295,rising
1296,rising
1297,rising
1298,rising
1299,rising
1300,rising
1301,rising
1302,rising
1303,rising
1304,rising
1305,rising
1306,rising
1307,rising
1308,rising
1309,rising
1310,rising
1311,rising
1312,rising
1313,rising
1314,rising
1315,rising
1316,rising
1317,rising
1318,rising
1319,rising
1320,rising
1321,rising
1322,rising
1323,rising
1324,rising
1325,rising
1326,rising
1327,rising
1328,rising
1329,rising
1330,rising
1331,rising
1332,rising
1333,rising
1334,rising
1335,rising
1336,rising
1337,rising
1338,rising
1339,rising
1340,rising
1341,rising
1342,rising
1343,rising
1344,rising
1345,rising
1346,rising
1347,rising
1348,rising
1349,rising
1350,rising
1351,rising
1352,rising
1353,rising
1354,rising
1355,rising
1356,rising
1357,rising
1358,rising
1359,rising
1360,rising
1361,rising
1362,rising
1363,rising
1364,rising
1365,rising
1366,rising
1367,rising
1368,rising
1369,rising
1370,rising
1371,rising
1372,rising
1373,rising
1374,rising
1375,rising
1376,rising
1377,rising
1378,rising
1379,rising
1380,rising
1381,rising
1382,rising
1383,rising
1384,rising
1385,rising
1386,rising
1387,rising
1388,rising
1389,rising
1390,rising
1391,rising
1392,rising
1393,rising
1394,rising
1395,rising
1396,rising
1397,rising
1398,rising
1399,rising
1400,rising
1401,rising
1402,rising
1403,rising
1404,rising
1405,rising
1406,rising
1407,rising
1408,rising
1409,rising
1410,rising
1411,rising
1412,rising
1413,rising
1414,rising
1415,rising
1416,rising
1417,rising
1418,rising
1419,rising
1420,rising
1421,rising
1422,rising
1423,rising
1424,rising
1425,rising
1426,rising
1427,rising
1428,rising
1429,rising
1430,rising
1431,rising
1432,rising
1433,rising
1434,rising
1435,rising
1436,rising
1437,rising
1438,rising
1439,rising
1440,rising
1441,rising
1442,rising
1443,rising
1444,rising
1445,rising
1446,rising
1447,rising
1448,rising
1449,rising
1450,rising
1451,rising
1452,rising
1453,rising
1454,rising
1455,rising
1456,rising
1457,rising
1458,rising
1459,rising
1460,rising
1461,rising
1462,rising
1463,rising
1464,rising
1465,rising
1466,rising
1467,rising
1468,rising
1469,rising
1470,rising
1471,rising
1472,rising
1473,rising
1474,rising
1475,rising
1476,rising
1477,rising
1478,rising
1479,rising
1480,rising
1481,rising
1482,rising
1483,rising
1484,rising
1485,rising
1486,rising
1487,rising
1488,rising
1489,rising
1490,rising
1491,rising
1492,rising
1493,rising
1494,rising
1495,rising
1496,rising
1497,rising
1498,rising
1499,rising
1500,upcoming
1501,upcoming
1502,upcoming
1503,upcoming
1504,upcoming
1505,upcoming
1506,upcoming
1507,upcoming
1508,upcoming
1509,upcoming
1510,upcoming
1511,upcoming
1512,upcoming
1513,upcoming
1514,upcoming
1515,upcoming
1516,upcoming
1517,upcoming
1518,upcoming
1519,upcoming
1520,upcoming
1521,upcoming
1522,upcoming
1523,upcoming
1524,upcoming
1525,upcoming
1526,upcoming
1527,upcoming
1528,upcoming
1529,upcoming
1530,upcoming
1531,upcoming
1532,upcoming
1533,upcoming
1534,upcoming
1535,upcoming
1536,upcoming
1537,upcoming
1538,upcoming
1539,upcoming
1540,upcoming
1541,upcoming
1542,upcoming
1543,upcoming
1544,upcoming
1545,upcoming
1546,upcoming
1547,upcoming
1548,upcoming
1549,upcoming
1550,upcoming
1551,upcoming
1552,upcoming
1553,upcoming
1554,upcoming
1555,upcoming
1556,upcoming
1557,upcoming
1558,upcoming
1559,upcoming
1560,upcoming
1561,upcoming
1562,upcoming
1563,upcoming
1564,upcoming
1565,upcoming
1566,upcoming
1567,upcoming
1568,upcoming
1569,upcoming
1570,upcoming
1571,upcoming
1572,upcoming
1573,upcoming
1574,upcoming
1575,upcoming
1576,upcoming
1577,upcoming
1578,upcoming
1579,upcoming
1580,upcoming
1581,upcoming
1582,upcoming
1583,upcoming
1584,upcoming
1585,upcoming
1586,upcoming
1587,upcoming
1588,upcoming
1589,upcoming
1590,upcoming
1591,upcoming
1592,upcoming
1593,upcoming
1594,upcoming
1595,upcoming
1596,upcoming
1597,upcoming
1598,upcoming
1599,upcoming
1600,upcoming
1601,upcoming
1602,upcoming
1603,upcoming
1604,upcoming
1605,upcoming
1606,upcoming
1607,upcoming
1608,upcoming
1609,upcoming
1610,upcoming
1611,upcoming
1612,upcoming
1613,upcoming
1614,upcoming
1615,upcoming
1616,upcoming
1617,upcoming
1618,upcoming
1619,upcoming
1620,upcoming
1621,upcoming
1622,upcoming
1623,upcoming
1624,upcoming
1625,upcoming
1626,upcoming
1627,upcoming
1628,upcoming
1629,upcoming
1630,upcoming
1631,upcoming
1632,upcoming
1633,upcoming
1634,upcoming
1635,upcoming
1636,upcoming
1637,upcoming
1638,upcoming
1639,upcoming
1640,upcoming
1641,upcoming
1642,upcoming
1643,upcoming
1644,upcoming
1645,upcoming
1646,upcoming
1647,upcoming
1648,upcoming
1649,upcoming
1650,upcoming
1651,upcoming
1652,upcoming
1653,upcoming
1654,upcoming
1655,upcoming
1656,upcoming
1657,upcoming
1658,upcoming
1659,upcoming
1660,upcoming
1661,upcoming
1662,upcoming
1663,upcoming
1664,upcoming
1665,upcoming
1666,upcoming
1667,upcoming
1668,upcoming
1669,upcoming
1670,upcoming
1671,upcoming
1672,upcoming
1673,upcoming
1674,upcoming
1675,upcoming
1676,upcoming
1677,upcoming
1678,upcoming
1679,upcoming
1680,upcoming
1681,upcoming
1682,upcoming
1683,upcoming
1684,upcoming
1685,upcoming
1686,upcoming
1687,upcoming
1688,upcoming
1689,upcoming
1690,upcoming
1691,upcoming
1692,upcoming
1693,upcoming
1694,upcoming
1695,upcoming
1696,upcoming
1697,upcoming
1698,upcoming
1699,upcoming
1700,upcoming
1701,upcoming
1702,upcoming
1703,upcoming
1704,upcoming
1705,upcoming
1706,upcoming
1707,upcoming
1708,upcoming
1709,upcoming
1710,upcoming
1711,upcoming
1712,upcoming
1713,upcoming
1714,upcoming
1715,upcoming
1716,upcoming
1717,upcoming
1718,upcoming
1719,upcoming
1720,upcoming
1721,upcoming
1722,upcoming
1723,upcoming
1724,upcoming
1725,upcoming
1726,upcoming
1727,upcoming
1728,upcoming
1729,upcoming
1730,upcoming
1731,upcoming
1732,upcoming
1733,upcoming
1734,upcoming
1735,upcoming
1736,upcoming
1737,upcoming
1738,upcoming
1739,upcoming
1740,upcoming
1741,upcoming
1742,upcoming
1743,upcoming
1744,upcoming
1745,upcoming
1746,upcoming
1747,upcoming
1748,upcoming
1749,upcoming
1750,upcoming
1751,upcoming
1752,upcoming
1753,upcoming
1754,upcoming
1755,upcoming
1756,upcoming
1757,upcoming
1758,upcoming
1759,upcoming
1760,upcoming
1761,upcoming
1762,upcoming
1763,upcoming
1764,upcoming
1765,upcoming
1766,upcoming
1767,upcoming
1768,upcoming
1769,upcoming
1770,upcoming
1771,upcoming
1772,upcoming
1773,upcoming
1774,upcoming
1775,upcoming
1776,upcoming
1777,upcoming
1778,upcoming
1779,upcoming
1780,upcoming
1781,upcoming
1782,upcoming
1783,upcoming
1784,upcoming
1785,upcoming
1786,upcoming
1787,upcoming
1788,upcoming
1789,upcoming
1790,upcoming
1791,upcoming
1792,upcoming
1793,upcoming
1794,upcoming
1795,upcoming
1796,upcoming
1797,upcoming
1798,upcoming
1799,upcoming
1800,upcoming
1801,upcoming
1802,upcoming
1803,upcoming
1804,upcoming
1805,upcoming
1806,upcoming
1807,upcoming
1808,upcoming
1809,upcoming
1810,upcoming
1811,upcoming
1812,upcoming
1813,upcoming
1814,upcoming
1815,upcoming
1816,upcoming
1817,upcoming
1818,upcoming
1819,upcoming
1820,upcoming
1821,upcoming
1822,upcoming
1823,upcoming
1824,upcoming
1825,upcoming
1826,upcoming
1827,upcoming
1828,upcoming
1829,upcoming
1830,upcoming
1831,upcoming
1832,upcoming
1833,upcoming
1834,upcoming
1835,upcoming
1836,upcoming
1837,upcoming
1838,upcoming
1839,upcoming
1840,upcoming
1841,upcoming
1842,upcoming
1843,upcoming
1844,upcoming
1845,upcoming
1846,upcoming
1847,upcoming
1848,upcoming
1849,upcoming
1850,upcoming
1851,upcoming
1852,upcoming
1853,upcoming
1854,upcoming
1855,upcoming
1856,upcoming
1857,upcoming
1858,upcoming
1859,upcoming
1860,upcoming
1861,upcoming
1862,upcoming
1863,upcoming
1864,upcoming
1865,upcoming
1866,upcoming
1867,upcoming
1868,upcoming
1869,upcoming
1870,upcoming
1871,upcoming
1872,upcoming
1873,upcoming
1874,upcoming
1875,upcoming
1876,upcoming
1877,upcoming
1878,upcoming
1879,upcoming
1880,upcoming
1881,upcoming
1882,upcoming
1883,upcoming
1884,upcoming
1885,upcoming
1886,upcoming
1887,upcoming
1888,upcoming
1889,upcoming
1890,upcoming
1891,upcoming
1892,upcoming
1893,upcoming
1894,upcoming
1895,upcoming
1896,upcoming
1897,upcoming
1898,upcoming
1899,upcoming
1900,upcoming
1901,upcoming
1902,upcoming
1903,upcoming
1904,upcoming
1905,upcoming
1906,upcoming
1907,upcoming
1908,upcoming
1909,upcoming
1910,upcoming
1911,upcoming
1912,upcoming
1913,upcoming
1914,upcoming
1915,upcoming
1916,upcoming
1917,upcoming
1918,upcoming
1919,upcoming
1920,upcoming
1921,upcoming
1922,upcoming
1923,upcoming
1924,upcoming
1925,upcoming
1926,upcoming
1927,upcoming
1928,upcoming
1929,upcoming
1930,upcoming
1931,upcoming
1932,upcoming
1933,upcoming
1934,upcoming
1935,upcoming
1936,upcoming
1937,upcoming
1938,upcoming
1939,upcoming
1940,upcoming
1941,upcoming
1942,upcoming
1943,upcoming
1944,upcoming
1945,upcoming
1946,upcoming
1947,upcoming
1948,upcoming
1949,upcoming
1950,upcoming
1951,upcoming
1952,upcoming
1953,upcoming
1954,upcoming
1955,upcoming
1956,upcoming
1957,upcoming
1958,upcoming
1959,upcoming
1960,upcoming
1961,upcoming
1962,upcoming
1963,upcoming
1964,upcoming
1965,upcoming
1966,upcoming
1967,upcoming
1968,upcoming
1969,upcoming
1970,upcoming
1971,upcoming
1972,upcoming
1973,upcoming
1974,upcoming
1975,upcoming
1976,upcoming
1977,upcoming
1978,upcoming
1979,upcoming
1980,upcoming
1981,upcoming
1982,upcoming
1983,upcoming
1984,upcoming
1985,upcoming
1986,upcoming
1987,upcoming
1988,upcoming
1989,upcoming
1990,upcoming
1991,upcoming
1992,upcoming
1993,upcoming
1994,upcoming
1995,upcoming
1996,upcoming
1997,upcoming
1998,upcoming
1999,upcoming
2000,upcoming
